,CHO.BK,MORE.BK,TMW.BK,UREKA.BK,TRT.BK,KGEN.BK,ECF.BK,EFORL.BK,BSM.BK,PHOL.BK,DV8.BK,CHOW.BK,MOONG.BK,DIMET.BK,JUBILE.BK,WINNER.BK,SANKO.BK,NPK.BK,TNDT.BK,CPR.BK
CHO.BK,0.010193603865489221,0.001924722204497917,-8.959752975748497e-05,2.749788035135479e-06,0.0002030109070363063,0.0004630621379639001,-5.329749300226185e-05,0.00038930439718674236,-0.000191022295223008,5.290593426397919e-05,0.0004981208648721159,0.0003156398797419212,-0.00016690632341165784,-3.2576402380090484e-05,0.00010200418906915079,4.662576711839069e-05,3.188638989023413e-06,-0.00045578445994949395,0.00028075320793316365,-0.00011625352597908085
MORE.BK,0.001924722204497917,0.01280269485485448,-3.3734000943037944e-05,0.00018958354608873264,-2.8769980119565677e-06,0.0006691727329962559,0.0004728561954943301,-0.00046913820505902544,-7.087481854099642e-05,2.0742960632331337e-05,0.000579547141785482,-2.7117674163591985e-05,5.560139248654922e-06,0.0003262382057542024,7.132890153906972e-05,1.441537643737542e-05,0.00024586046059252894,0.0001633413534518615,0.0005004223143099847,-0.0003066304353425361
TMW.BK,-8.959752975748497e-05,-3.3734000943037944e-05,0.0004324150031299945,4.885372647644577e-05,1.4731610325815244e-05,5.381743745097757e-05,4.86473922333486e-05,5.107672562017867e-05,-0.00010753404429300408,1.0825110844080861e-05,-2.3820888988539814e-05,8.223785030747647e-05,3.3288452619434774e-05,5.97044191096256e-05,4.4194993295325444e-05,1.1378320693883164e-05,0.00011964308841347295,-8.174295981619239e-06,-2.2076728411024992e-05,1.3695222201772829e-05
UREKA.BK,2.749788035135479e-06,0.00018958354608873264,4.885372647644577e-05,0.0009420973817224369,1.3899538447807783e-05,0.00020024063037924752,0.00019575821324223228,0.00012908150440034391,2.4388746530352474e-07,1.1790169605924381e-05,0.0001705850268115223,4.238672325241116e-05,1.6849517526025358e-05,6.438787512690805e-05,9.059376263930242e-05,8.576515737323872e-06,0.00017670139405280428,6.524816222924222e-05,3.4653966446707454e-05,7.27627858480081e-05
TRT.BK,0.0002030109070363063,-2.8769980119565677e-06,1.4731610325815244e-05,1.3899538447807783e-05,0.0008520527915828371,-0.00021197838099544842,3.512572920403612e-05,-6.935171648046489e-05,3.236305833858871e-05,-1.4745961333946228e-05,7.090285106045436e-05,0.00013443990384052088,1.215275325243147e-05,-7.828801695225157e-05,5.6411979495549826e-05,2.0354880729429364e-05,4.640442400888864e-05,-2.2471920685987175e-05,1.2108586280641583e-05,4.659775337094559e-05
KGEN.BK,0.0004630621379639001,0.0006691727329962559,5.381743745097757e-05,0.00020024063037924752,-0.00021197838099544842,0.002448811358179231,0.00016560094010406722,0.00011677545163087021,-1.163226794920315e-05,0.00013773410324740464,0.00010410803516764099,0.00024629264782313954,3.2747503712402e-05,0.00036172785409865454,-2.4832809133226423e-05,-1.3415537976763372e-05,0.00022868032169933957,0.00021479120253793378,0.00039905886914607904,2.634151243472101e-05
ECF.BK,-5.329749300226185e-05,0.0004728561954943301,4.86473922333486e-05,0.00019575821324223228,3.512572920403612e-05,0.00016560094010406722,0.0011760341768487475,8.590471008377876e-05,3.148584448539534e-05,2.391560342539732e-05,0.0001934030004280726,-2.2027048058564037e-05,5.115729708728862e-05,6.21546078329954e-05,6.157102598715763e-05,4.06830239499228e-05,0.00012065285906359317,0.00010067149398307093,0.00028240501841831885,4.662807121902963e-05
EFORL.BK,0.00038930439718674236,-0.00046913820505902544,5.107672562017867e-05,0.00012908150440034391,-6.935171648046489e-05,0.00011677545163087021,8.590471008377876e-05,0.0032735475368250375,-1.0548614830582482e-05,7.248205531678307e-07,-2.877812952709229e-05,4.810271818198e-05,-2.0047554188561554e-05,0.00012986996136190118,3.6362075258250093e-05,-6.361000816593894e-05,0.00014309209878249137,1.646670079241926e-06,0.00016957137059394665,0.00022569954373605062
BSM.BK,-0.000191022295223008,-7.087481854099642e-05,-0.00010753404429300408,2.4388746530352474e-07,3.236305833858871e-05,-1.163226794920315e-05,3.148584448539534e-05,-1.0548614830582482e-05,0.0005588483697020253,3.079569220912077e-05,5.870697894540182e-05,-2.55555370895218e-05,2.5464540594629535e-06,-0.00010313972586640759,4.459386682675392e-06,1.9530094794665042e-05,-4.4978118512481243e-05,0.0001420094222602328,-4.5452347326807056e-05,-1.2384927777098911e-06
PHOL.BK,5.290593426397919e-05,2.0742960632331337e-05,1.0825110844080861e-05,1.1790169605924381e-05,-1.4745961333946228e-05,0.00013773410324740464,2.391560342539732e-05,7.248205531678307e-07,3.079569220912077e-05,0.0001188985021720583,-5.283187014521515e-05,-1.342435209416828e-05,1.6032374535292505e-05,5.6080435487071865e-05,-1.645270904530974e-05,-2.6608149571264573e-06,1.026308663977007e-06,5.782291638445022e-05,2.4651174029208655e-05,1.1241901211374356e-05
DV8.BK,0.0004981208648721159,0.000579547141785482,-2.3820888988539814e-05,0.0001705850268115223,7.090285106045436e-05,0.00010410803516764099,0.0001934030004280726,-2.877812952709229e-05,5.870697894540182e-05,-5.283187014521515e-05,0.0021088785566109403,4.0387550625245985e-05,-5.941129886747119e-05,6.405412320447942e-05,4.5100870325916206e-05,-1.679968777428751e-05,0.00011643616130161354,-0.00023224682727874193,9.336684780296577e-05,2.6060469951634554e-05
CHOW.BK,0.0003156398797419212,-2.7117674163591985e-05,8.223785030747647e-05,4.238672325241116e-05,0.00013443990384052088,0.00024629264782313954,-2.2027048058564037e-05,4.810271818198e-05,-2.55555370895218e-05,-1.342435209416828e-05,4.0387550625245985e-05,0.0014572242477932861,3.435842010476203e-05,0.00015733568021290617,3.854993420569506e-05,-7.430741793648746e-06,0.00019846764400216412,-1.3240791164959787e-05,5.609993656947996e-05,0.00020215646776508545
MOONG.BK,-0.00016690632341165784,5.560139248654922e-06,3.3288452619434774e-05,1.6849517526025358e-05,1.215275325243147e-05,3.2747503712402e-05,5.115729708728862e-05,-2.0047554188561554e-05,2.5464540594629535e-06,1.6032374535292505e-05,-5.941129886747119e-05,3.435842010476203e-05,0.00017508629212302515,6.225547938544618e-05,1.7883461165818286e-05,6.207991809090242e-06,3.717757003774123e-05,0.0001176749221220896,1.593691406977454e-05,6.896215929432471e-05
DIMET.BK,-3.2576402380090484e-05,0.0003262382057542024,5.97044191096256e-05,6.438787512690805e-05,-7.828801695225157e-05,0.00036172785409865454,6.21546078329954e-05,0.00012986996136190118,-0.00010313972586640759,5.6080435487071865e-05,6.405412320447942e-05,0.00015733568021290617,6.225547938544618e-05,0.001007991774104402,-6.158083005147675e-05,-5.069446703769915e-06,0.00010156101395534808,0.00016237826910071008,0.0002476443670489645,6.860242761234087e-05
JUBILE.BK,0.00010200418906915079,7.132890153906972e-05,4.4194993295325444e-05,9.059376263930242e-05,5.6411979495549826e-05,-2.4832809133226423e-05,6.157102598715763e-05,3.6362075258250093e-05,4.459386682675392e-06,-1.645270904530974e-05,4.5100870325916206e-05,3.854993420569506e-05,1.7883461165818286e-05,-6.158083005147675e-05,0.0002690680640263325,5.4698113542378784e-05,7.291864355564706e-05,2.3246083045556184e-05,0.00019568180235504366,-8.975017179118638e-06
WINNER.BK,4.662576711839069e-05,1.441537643737542e-05,1.1378320693883164e-05,8.576515737323872e-06,2.0354880729429364e-05,-1.3415537976763372e-05,4.06830239499228e-05,-6.361000816593894e-05,1.9530094794665042e-05,-2.6608149571264573e-06,-1.679968777428751e-05,-7.430741793648746e-06,6.207991809090242e-06,-5.069446703769915e-06,5.4698113542378784e-05,0.0001643590846227838,3.850993081322697e-06,2.4761373762528098e-05,3.838592691399166e-05,-2.1369899021119958e-05
SANKO.BK,3.188638989023413e-06,0.00024586046059252894,0.00011964308841347295,0.00017670139405280428,4.640442400888864e-05,0.00022868032169933957,0.00012065285906359317,0.00014309209878249137,-4.4978118512481243e-05,1.026308663977007e-06,0.00011643616130161354,0.00019846764400216412,3.717757003774123e-05,0.00010156101395534808,7.291864355564706e-05,3.850993081322697e-06,0.001121899128680484,7.439032655691054e-05,0.00021458726316088284,0.0001443484147318379
NPK.BK,-0.00045578445994949395,0.0001633413534518615,-8.174295981619239e-06,6.524816222924222e-05,-2.2471920685987175e-05,0.00021479120253793378,0.00010067149398307093,1.646670079241926e-06,0.0001420094222602328,5.782291638445022e-05,-0.00023224682727874193,-1.3240791164959787e-05,0.0001176749221220896,0.00016237826910071008,2.3246083045556184e-05,2.4761373762528098e-05,7.439032655691054e-05,0.0011139418777034497,8.93272197138289e-05,9.884679327795337e-05
TNDT.BK,0.00028075320793316365,0.0005004223143099847,-2.2076728411024992e-05,3.4653966446707454e-05,1.2108586280641583e-05,0.00039905886914607904,0.00028240501841831885,0.00016957137059394665,-4.5452347326807056e-05,2.4651174029208655e-05,9.336684780296577e-05,5.609993656947996e-05,1.593691406977454e-05,0.0002476443670489645,0.00019568180235504366,3.838592691399166e-05,0.00021458726316088284,8.93272197138289e-05,0.002142712482281151,-2.246681784897527e-05
CPR.BK,-0.00011625352597908085,-0.0003066304353425361,1.3695222201772829e-05,7.27627858480081e-05,4.659775337094559e-05,2.634151243472101e-05,4.662807121902963e-05,0.00022569954373605062,-1.2384927777098911e-06,1.1241901211374356e-05,2.6060469951634554e-05,0.00020215646776508545,6.896215929432471e-05,6.860242761234087e-05,-8.975017179118638e-06,-2.1369899021119958e-05,0.0001443484147318379,9.884679327795337e-05,-2.246681784897527e-05,0.0005645895623763751
